name,address,lat,lon,timings
Shizen,"370 14th Street, San Francisco 94103",37.7682147000,-122.4213668000,5 PM to 10 PM (Mon-Sun)
Helmand Palace,2424 Van Ness Avenue 94109,37.7983600000,-122.4235000000,5:30 PM to 10 PM
Mariposa,"Ferry Building, Level 1, 1 Ferry Plaza, Suite 32, San Francisco 94111",37.7952000000,-122.3931277778,"8 AM to 6 PM (Mon-Sat),10 AM to 5 PM (Sun)"
Loving Hut,"Westfield Mall, Food Court, 845 Market Street, San Francisco 94103",37.7842638889,-122.4059916667,"10 AM to 8:30 PM (Mon-Sat),10 AM to 7 PM (Sun)"
Lucky Creation Vegetarian,"854 Washington Street, San Francisco 94108",37.7949527778,-122.4074166667,"11 AM to 9 PM (Mon, Tue, Thu, Fri, Sat, Sun), Closed (Wed)"
Bang San Thai Cuisine,"791 O'Farrell Street, San Francisco 94109",37.7852200000,-122.4177800000,11 AM to 10:30 PM (Mon-Sun)
Loving Hut,"1365 Stockton Street, San Francisco 94133",37.7982450000,-122.4088840000,"11 AM to 3 PM, 5 PM to 8:30 PM (Mon-Fri),11 AM to 8:30 PM (Sat-Sun)"
Enjoy Vegetarian Restaurant,"839 Kearny Street, San Francisco 94108",37.7956750000,-122.4052010000,"11 AM to 2:30 PM, 5 PM to 9 PM (Mon-Sun)"
Loving Hut,"524 Irving Street, San Francisco 94122",37.7642750000,-122.4636210000,11 AM to 9 PM (Mon-Sun)
Great India,"6127 Geary Boulevard, San Francisco 94121",37.7800780000,-122.4850170000,11:30 AM to 10:30 PM (Mon-Sun)
Enjoy Vegetarian,"754 Kirkham Street, San Francisco 94122",37.7601860000,-122.4690780000,"Closed (Mon),11 AM to 2:30 PM, 5 PM to 9 PM (Tue-Sun)"
Thai Idea Vegetarian,"710 Polk Street, San Francisco 94109",37.7835142000,-122.4190258000,"11 AM to 3 PM, 5 PM to 10:30 PM (Mon-Fri),12 Noon to 10:30 PM (Sat-Sun)"
Thai Chef,"4133 18th Street, San Francisco 94114",37.7608027778,-122.4358000000,"12 Noon to 3 PM, 5 PM to 10 PM (Mon, Wed, Thu), Closed (Tue),12 Noon to 10:30 PM (Fri-Sat),12 Noon to 9:30 PM (Sun)"
Sweet Lime Thai Cuisine,2100 Sutter Street 94115,37.7860300000,-122.4358800000,"11 AM to 2:30 PM, 5 PM to 10 PM (Mon-Sat), 5 PM to 10 PM (Sun)"
Emmy's Chinese Restaurant,"1923 Ocean Avenue, San Francisco 94127",37.7254820000,-122.4627100000,11 AM to 11 PM (Mon-Sun)
Krung Thai,"640 S Winchester Boulevard,  San Jose 95128",37.3155340000,-121.9499260000,"11 AM to 10 PM (Mon-Fri),12 Noon to 10 PM (Sat-Sun)"
